Date,Time,Zone,Device,PPM,VOC
12/21/2021,18:37,Zone1,T2,552,23
12/21/2021,18:37,Zone2,T1,578,27
12/21/2021,18:37,Zone2,T2,473,11
12/21/2021,18:37,Zone1,T3,0,0
12/21/2021,18:37,Zone1,T4,0,0
12/21/2021,18:38,Zone1,T1,592,29
12/21/2021,18:38,Zone1,T2,552,23
12/21/2021,18:38,Zone2,T1,611,32
12/21/2021,18:38,Zone2,T2,464,9
12/21/2021,18:38,Zone1,T3,0,0
12/21/2021,18:38,Zone1,T4,0,0
12/21/2021,18:39,Zone1,T1,626,34
12/21/2021,18:39,Zone1,T2,552,23
12/21/2021,18:39,Zone2,T1,611,32
12/21/2021,18:39,Zone2,T2,475,11
12/21/2021,18:39,Zone1,T3,0,0
12/21/2021,18:39,Zone1,T4,0,0
12/21/2021,18:41,Zone1,T1,620,33
12/21/2021,18:41,Zone1,T2,552,23
12/21/2021,18:41,Zone2,T1,569,25
12/21/2021,18:41,Zone2,T2,473,11
12/21/2021,18:41,Zone1,T3,0,0
12/21/2021,18:41,Zone1,T4,0,0
12/21/2021,18:42,Zone1,T1,620,33
12/21/2021,18:42,Zone1,T2,552,23
12/21/2021,18:42,Zone2,T1,596,29
12/21/2021,18:42,Zone2,T2,465,9
12/21/2021,18:44,Zone1,T1,584,28
12/21/2021,18:44,Zone1,T2,552,23
12/21/2021,18:45,Zone1,T1,614,32
12/21/2021,18:45,Zone1,T2,552,23
12/21/2021,18:45,Zone2,T1,575,26
12/21/2021,18:45,Zone2,T2,473,11
12/21/2021,18:45,Zone1,T3,0,0
12/21/2021,18:45,Zone1,T4,0,0
12/21/2021,18:46,Zone1,T1,594,29
12/21/2021,18:46,Zone1,T2,552,23
12/21/2021,18:46,Zone2,T1,599,30
12/21/2021,18:46,Zone2,T2,475,11
12/21/2021,18:47,Zone1,T1,580,27
12/21/2021,18:47,Zone1,T2,552,23
12/21/2021,18:47,Zone2,T1,640,36
12/21/2021,18:47,Zone2,T2,473,11
12/21/2021,18:48,Zone1,T1,623,33
12/21/2021,18:48,Zone1,T2,552,23
12/21/2021,18:48,Zone2,T1,551,23
12/21/2021,18:48,Zone2,T2,464,9
12/21/2021,18:48,Zone1,T3,0,0
